Quarter,Management Consulting Services Total (£m),Gross Added Value,Hours Worked,Hourly Output
1998 Q1,0.0,33.80946365170945,50.3785197973813,67.11087143427122
1998 Q2,0.0,38.271420462372966,51.29287228253861,74.61352573815896
1998 Q3,0.0,36.111427733574494,51.82595705519092,69.678265073076
1998 Q4,0.0,34.75255906850879,52.65995290722545,65.99428436583426
1999 Q1,0.0,34.07312473597593,52.409471748867006,65.01329549598543
1999 Q2,0.0,33.687773920509535,54.11436897245559,62.252918328691436
1999 Q3,0.0,34.18467365624251,54.815918177771266,62.362676376923176
1999 Q4,0.0,39.51874020717209,54.950138120816966,71.91745382019529
2000 Q1,3593.1,37.02410071757384,53.55416445514629,69.13393401662154
2000 Q2,3801.0,38.656771277839354,55.22271467167616,70.00157726339825
2000 Q3,4121.5,41.90183077650373,55.96356259066635,74.87341555251905
2000 Q4,4448.2,43.473656471169285,57.30849664534216,75.85900698147638
2001 Q1,4839.4,45.80604298583431,58.30746993852878,78.55947622856169
2001 Q2,4519.8,43.87928890850234,57.3259636685256,76.54348239520989
2001 Q3,4931.2,46.75927921356697,54.84405232330164,85.2586146222829
2001 Q4,4541.3,43.220136197836126,55.78193451677881,77.48052585884378
2002 Q1,4402.1,44.12266837090217,55.24100392100975,79.87303857474069
2002 Q2,4555.6,43.646050257035824,55.10333890306449,79.20763265147349
2002 Q3,4575.9,43.67647268983581,55.90386058394609,78.12782915815006
2002 Q4,4791.7,44.1023867490355,56.588711191223084,77.9349552599031
2003 Q1,4708.1,47.15477083996669,57.30031653357466,82.29408438317562
2003 Q2,4660.5,46.1913938013007,58.47177260479919,78.9977654919075
2003 Q3,4887.0,47.60096652103305,59.76744308583829,79.64363884978029
2003 Q4,5740.4,50.8764484524974,58.218440566291356,87.38888908328983
2004 Q1,5364.0,47.24603813836662,59.69914777314008,79.14022209815128
2004 Q2,5385.2,47.03308110876677,58.99807665381673,79.71968541405674
2004 Q3,5393.0,47.053362730633424,58.23869823498037,80.79398090387153
2004 Q4,5669.6,45.430832981301236,60.342485696660106,75.28830219172718
2005 Q1,5798.1,46.97223624316682,60.20573469391951,78.01953830805219
2005 Q2,5988.4,45.69449406556772,60.29597377655582,75.7836571889557
2005 Q3,5876.7,45.927732717034225,62.0682648627452,73.99551577379613
2005 Q4,6627.1,52.0426417098299,62.783152334409735,82.8926866122119
2006 Q1,6695.3,50.440393582364365,64.22633440108963,78.53537657523327
2006 Q2,6748.0,49.37560843436512,65.35404776198597,75.55095686526866
2006 Q3,7017.0,49.14236978289861,63.15436639869128,77.81309921259373
2006 Q4,7927.9,53.523200106095516,67.68946082725626,79.07168922897301
2007 Q1,8099.5,54.760379039961315,67.53170473730393,81.088400260259
2007 Q2,8376.3,54.78066066182798,66.18426247614786,82.76991933176006
2007 Q3,8666.6,57.29558177329285,67.2795609151429,85.1604573423978
2007 Q4,9717.7,57.73163664342588,66.80343714757046,86.42015906441344
2008 Q1,10405.3,59.820643695691075,68.04929484826572,87.90780834551971
2008 Q2,10555.2,58.19811394635888,66.16405355422143,87.96032108078977
2008 Q3,10165.3,58.7862809804918,65.90559275935335,89.1977122414225
2008 Q4,10331.2,60.30740262049073,64.39980136584805,93.64532396286613
2009 Q1,9820.7,58.421211786892066,64.31013626751991,90.84292955603314
2009 Q2,9069.8,56.99135744529306,65.94775758374313,86.41894665322488
2009 Q3,8974.7,57.07248393275969,65.71778922590565,86.84480200113298
2009 Q4,9110.5,42.226336726370164,65.68469158809427,64.28642002488128
2010 Q1,8960.9,47.32716462583323,66.64960389605945,71.00892107271977
2010 Q2,7378.7,55.48037661622747,65.87261336991028,84.22373696436664
2010 Q3,7484.2,58.19811394635888,65.72418035346834,88.54901443177555
2010 Q4,7775.2,58.77614016955849,64.94411303357683,90.50264515764582
2011 Q1,7780.5,59.5569826114246,63.84423486913137,93.28482475121699
2011 Q2,8196.3,58.593605572758605,63.33324347789027,92.5163505848452
2011 Q3,10039.0,51.8499663020967,66.2002133766973,78.32295948512464
2011 Q4,10506.4,54.587985254094775,67.75256492606462,80.5696217016495
2012 Q1,10847.8,56.70741473915994,65.2014016900124,86.97269271719719
2012 Q2,10491.8,51.77898062556342,71.1281906187818,72.79670714959936
2012 Q3,10519.8,55.307982830360935,70.14875064946092,78.84386010912644
2012 Q4,10829.0,58.573323950891954,69.41091596718448,84.386329058939
2013 Q1,10995.9,59.141209363158225,69.7825096177476,84.75076303090849
2013 Q2,11764.0,59.22233585062483,74.66784113017806,79.314380802004
2013 Q3,11702.6,61.91979155888959,75.82040279543565,81.66639753411742
2013 Q4,11881.1,62.64992994608907,78.33710999284881,79.97477817576903
2014 Q1,12323.4,64.95189402795413,79.72775782034051,81.4671023037139
2014 Q2,12861.9,66.11808728528663,82.64620866863024,80.00135559803702
